timestamp_sec,rms_energy,is_silent,spectral_centroid_hz,zero_crossing_rate,scene_id
0.0,1.9e-05,1,1639.38,0.080039,1
2.0,0.001087,1,1282.46,0.068352,1
4.0,0.011581,0,320.16,0.013106,1
6.0,0.013324,0,294.1,0.012649,1
8.0,0.011451,0,332.81,0.021128,1
10.0,0.009288,1,333.26,0.023127,1
12.0,0.006404,1,329.18,0.02057,1
14.0,0.002753,1,453.91,0.029367,1
16.0,0.004097,1,453.77,0.033901,1
18.0,0.00447,1,560.76,0.039776,1
20.0,0.025958,0,318.22,0.011936,1
22.0,0.022865,0,360.85,0.01733,1
24.0,0.031431,0,284.16,0.014858,1
26.0,0.037129,0,340.66,0.014827,1
28.0,0.051526,0,922.27,0.038225,1
30.0,0.046829,0,1114.75,0.045984,1
32.0,0.042158,0,1024.25,0.045131,1
34.0,0.040328,0,1037.24,0.047797,1
36.0,0.045124,0,1091.07,0.05399,1
38.0,0.051278,0,1068.23,0.06119,1
40.0,0.061056,0,1033.95,0.041186,1
42.0,0.049825,0,1099.05,0.05344,1
44.0,0.051493,0,1520.84,0.080318,1
46.0,0.046568,0,1314.72,0.084411,1
48.0,0.054036,0,1166.13,0.063872,1
50.0,0.061521,0,1181.15,0.066461,1
52.0,0.04506,0,1313.85,0.08245,1
54.0,0.045693,0,1239.75,0.077823,1
56.0,0.073189,0,1069.21,0.058718,1
58.0,0.066765,0,1178.0,0.069049,1
60.0,0.048704,0,1335.97,0.072955,1
62.0,0.041114,0,1307.39,0.075296,1
64.0,0.053066,0,1091.74,0.065949,1
66.0,0.05207,0,1114.71,0.053812,1
68.0,0.055874,0,1137.8,0.062694,1
70.0,0.055149,0,1172.41,0.059958,1
72.0,0.060095,0,1156.99,0.068545,1
74.0,0.058802,0,1375.67,0.071258,1
76.0,0.072492,0,1112.47,0.06205,1
78.0,0.053331,0,1346.52,0.071793,1
80.0,0.065757,0,1142.36,0.06891,1
82.0,0.062542,0,1435.85,0.074242,1
84.0,0.096698,0,1000.29,0.053168,1
86.0,0.092967,0,1305.28,0.079326,1
88.0,0.089777,0,1150.38,0.069855,1
90.0,0.080789,0,1180.74,0.077575,1
92.0,0.106973,0,1090.17,0.065282,1
94.0,0.069336,0,1180.54,0.071219,1
96.0,0.099452,0,1105.86,0.066011,1
98.0,0.091021,0,1355.67,0.09175,1
100.0,0.089233,0,1585.07,0.128007,1
102.0,0.108523,0,1524.77,0.109739,1
104.0,0.023862,0,1873.56,0.202001,1
106.0,0.015896,0,1841.89,0.170371,1
108.0,0.011751,0,1921.27,0.16855,1
110.0,0.002255,1,1463.02,0.110336,1
112.0,0.001615,1,843.83,0.042713,1
114.0,0.004988,1,2138.26,0.161869,1
116.0,0.005095,1,1985.14,0.163256,1
118.0,0.003351,1,1607.82,0.131495,1
120.0,0.001858,1,1283.6,0.100617,1
122.0,0.001442,1,1365.81,0.097835,1
124.0,0.001633,1,1060.84,0.062647,1
126.0,0.001897,1,1155.88,0.084736,1
128.0,0.001821,1,1282.13,0.081721,1
130.0,0.001752,1,1087.16,0.058679,1
132.0,0.000995,1,1038.91,0.049138,1
134.0,0.001569,1,1366.32,0.105004,1
136.0,0.001176,1,1213.85,0.078551,1
138.0,0.001285,1,1234.06,0.081132,1
140.0,0.001996,1,836.64,0.053308,1
142.0,0.003192,1,759.76,0.048991,1
144.0,0.004984,1,731.86,0.042945,2
146.0,0.008776,1,680.23,0.037334,2
148.0,0.011149,0,629.91,0.031793,2
150.0,0.009674,1,703.02,0.040535,2
152.0,0.013016,0,638.15,0.035397,2
154.0,0.010855,0,664.96,0.039628,2
156.0,0.007102,1,932.3,0.050704,2
158.0,0.005523,1,887.53,0.049758,2
160.0,0.005076,1,920.3,0.062438,2
162.0,0.00542,1,1001.84,0.069018,2
164.0,0.003694,1,943.87,0.066662,2
166.0,0.004078,1,915.57,0.062903,2
168.0,0.004165,1,938.04,0.059787,2
170.0,0.007002,1,1042.71,0.077141,2
172.0,0.006333,1,921.62,0.061578,2
174.0,0.006553,1,909.52,0.04717,2
176.0,0.004758,1,849.59,0.063794,2
178.0,0.004964,1,826.43,0.05127,2
180.0,0.005677,1,786.53,0.047425,2
182.0,0.005294,1,794.73,0.049402,2
184.0,0.005491,1,789.68,0.053168,2
186.0,0.005424,1,784.4,0.052719,2
188.0,0.00648,1,713.35,0.039574,2
190.0,0.006834,1,708.13,0.032234,2
192.0,0.008268,1,648.63,0.021732,2
194.0,0.008583,1,730.05,0.04703,2
196.0,0.008894,1,929.69,0.067794,2
198.0,0.009946,1,1083.06,0.077931,2
200.0,0.008007,1,936.72,0.073839,2
202.0,0.00781,1,837.58,0.059772,2
204.0,0.00706,1,899.1,0.074847,2
206.0,0.009149,1,900.77,0.060586,2
208.0,0.009292,1,1020.63,0.079171,2
210.0,0.006931,1,939.43,0.067592,2
212.0,0.006864,1,905.92,0.065453,2
214.0,0.009847,1,894.66,0.054773,2
216.0,0.007492,1,923.51,0.079009,2
218.0,0.008667,1,915.25,0.071359,2
220.0,0.008485,1,841.22,0.065639,2
222.0,0.014608,0,779.4,0.051944,2
224.0,0.024588,0,576.97,0.016098,2
226.0,0.021359,0,594.84,0.016578,2
228.0,0.015737,0,648.76,0.021236,2
230.0,0.0144,0,685.18,0.02908,2
232.0,0.013532,0,760.23,0.039132,2
234.0,0.012923,0,763.29,0.040093,2
236.0,0.011335,0,818.66,0.05523,2
238.0,0.009762,1,826.59,0.06126,2
240.0,0.012065,0,779.14,0.052905,2
242.0,0.01452,0,669.52,0.032699,2
244.0,0.009546,1,733.29,0.042488,2
246.0,0.010242,0,898.14,0.056695,2
248.0,0.009036,1,906.88,0.05826,2
250.0,0.010468,0,823.31,0.058392,2
252.0,0.010554,0,906.38,0.075188,2
254.0,0.012101,0,851.93,0.063934,2
256.0,0.008169,1,831.23,0.066654,2
258.0,0.010205,0,757.81,0.045999,2
