brightness_0_255,color_2_hex,color_2_pct,color_3_hex,color_3_pct,dominant_b,dominant_color_hex,dominant_g,dominant_pct,dominant_r,frame_number,hue_0_360,saturation_0_1,timestamp_hms,timestamp_sec
0.0,,,,,0,#000000,0,1.0,0,1,0.0,0.0,00:00:02,2.0
5.0,#888c92,0.074,#d9dbe0,0.025,5,#050505,5,0.901,5,2,0.0,0.0,00:00:04,4.0
1.0,#848484,0.008,#efefef,0.005,1,#010101,1,0.987,1,3,0.0,0.0,00:00:06,6.0
1.0,#c5c5c6,0.017,#616162,0.009,1,#010101,1,0.973,1,4,0.0,0.0,00:00:08,8.0
1.0,#858585,0.008,#efefef,0.005,1,#010101,1,0.987,1,5,0.0,0.0,00:00:10,10.0
1.0,#858585,0.008,#efefef,0.005,1,#010101,1,0.987,1,6,0.0,0.0,00:00:12,12.0
1.0,#c1c0c2,0.032,#5f5f61,0.014,1,#010101,1,0.954,1,7,0.0,0.0,00:00:14,14.0
1.0,#858585,0.008,#efefef,0.005,1,#010101,1,0.987,1,8,0.0,0.0,00:00:16,16.0
1.0,#c3c3c4,0.017,#585859,0.01,1,#010101,1,0.973,1,9,0.0,0.0,00:00:18,18.0
1.0,#c4c4c4,0.017,#575758,0.01,1,#010101,1,0.973,1,10,0.0,0.0,00:00:20,20.0
1.0,#858585,0.008,#efefef,0.005,1,#010101,1,0.987,1,11,0.0,0.0,00:00:22,22.0
5.0,#451b66,0.078,#c6c6c6,0.01,5,#040305,3,0.911,4,12,270.0,0.4,00:00:24,24.0
7.0,#7931bb,0.211,#3d1758,0.073,7,#050407,4,0.716,5,13,260.0,0.427,00:00:26,26.0
6.0,#3d1558,0.151,#c5c5c4,0.01,6,#040406,4,0.839,4,14,240.0,0.333,00:00:28,28.0
88.0,#722dac,0.319,#140a0e,0.277,88,#502a58,42,0.403,80,15,290.0,0.522,00:00:30,30.0
176.0,#4e2756,0.346,#190e11,0.262,176,#7734b0,52,0.392,119,16,272.0,0.706,00:00:32,32.0
45.0,#691fab,0.375,#826a70,0.153,37,#2d1625,22,0.472,45,17,320.0,0.51,00:00:34,34.0
50.0,#681fa8,0.353,#8a6c68,0.206,49,#321731,23,0.441,50,18,302.0,0.541,00:00:36,36.0
81.0,#1d1215,0.359,#6e2fa4,0.248,81,#502751,39,0.393,80,19,298.0,0.518,00:00:38,38.0
