source;dataset_description;contributor;submission_date;row_type;category_id;category_label;num_shots;total_length_text;total_length_sec;avg_shot_length_sec;median_shot_length_sec;msl_to_asl_ratio;max_shot_length_sec;min_shot_length_sec;range_sec;std_dev;coefficient_variation;pct_of_total_shots;pct_of_total_runtime;relative_pace
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;total;ALL;ALL_SHOTS;1303;02:21:35.2;8495.2;6.5;4.1;0.63;130.9;0.4;130.5;8.5;1.31;100.0;100.0;1.0
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_A;Adam;232;00:20:11.8;1211.8;5.2;3.5;0.67;37.3;0.7;36.6;4.8;0.92;17.8;14.3;0.8
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_B;Betty;73;00:10:33.1;633.1;8.7;4.6;0.53;130.9;0.9;130.0;16.7;1.92;5.6;7.5;1.34
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_C;Betty & Rita;488;00:52:31.2;3151.2;6.5;4.3;0.66;66.2;0.8;65.4;7.5;1.15;37.5;37.1;1.0
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_D;Diane;82;00:13:05.5;785.5;9.6;3.6;0.38;81.7;1.0;80.7;14.5;1.51;6.3;9.2;1.48
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_E;Diane & Camilla;122;00:13:37.5;817.5;6.7;4.5;0.67;73.3;1.1;72.2;7.7;1.15;9.4;9.6;1.03
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_F;Other;230;00:23:31.9;1411.9;6.1;4.3;0.7;62.2;0.7;61.5;7.2;1.18;17.7;16.6;0.94
cinemetrics_esselaar;Shot changes, plot lines, 'right' order;Nikki Esselaar;2014-10-22;category;cat_G;Rita;76;00:08:04.2;484.2;6.4;3.8;0.59;45.6;0.4;45.2;6.8;1.06;5.8;5.7;0.98
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;total;ALL;ALL_SHOTS;1254;02:15:59.0;8159.0;6.5;4.2;0.65;125.5;0.5;125.0;7.8;1.2;100.0;100.0;1.0
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_A;CU;238;00:23:38.6;1418.6;6.0;3.9;0.65;125.5;0.8;124.7;9.3;1.55;19.0;17.4;0.92
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_B;ECU;70;00:06:15.1;375.1;5.4;3.0;0.56;23.3;0.7;22.6;5.3;0.98;5.6;4.6;0.83
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_C;ELS;11;00:01:10.1;70.1;6.4;6.4;1.0;13.3;1.9;11.4;3.2;0.5;0.9;0.9;0.98
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_D;LS;150;00:21:18.9;1278.9;8.5;5.9;0.69;65.3;0.7;64.6;8.5;1.0;12.0;15.7;1.31
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_E;MCU;251;00:25:00.7;1500.7;6.0;3.8;0.63;67.7;1.1;66.6;7.2;1.2;20.0;18.4;0.92
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_F;MLS;142;00:17:58.7;1078.7;7.6;4.3;0.57;64.3;0.5;63.8;10.0;1.32;11.3;13.2;1.17
cinemetrics_sonneveld;Shot lengths divided by shot type;Julie Sonneveld;2009-12-14;category;cat_G;MS;392;00:40:36.9;2436.9;6.2;4.1;0.66;43.0;0.7;42.3;6.1;0.98;31.3;29.9;0.95
